Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:00:01:01,00:00:04:24,"Sir, can you tell me your name and where you are from?","Señor, ¿me puede decir su nombre y de donde es?",,,salinero young
00:00:04:25,00:00:07:22,I am. My name is Hamilton Sierra.,Yo soy. Me llamo Hamilton Sierra.,,,salinero young
00:00:07:23,00:00:10:01,"I'm not from here
but my wife is from here, from Manaure.","Yo no soy de acá,
pero mi mujer es de aquí, de Manaure.",,,salinero young
00:00:10:11,00:00:13:28,I am from there on the lower Magdalena coast.,Yo soy de allá de la costa del bajo Magdalena.,,,salinero young
00:00:13:29,00:00:15:07,How long have you been working here?,¿Hace cuánto ha estado trabajando acá?,,,salinero young
00:00:15:15,00:00:17:23,"Two years ago,","Hace dos años,",,,salinero young
00:00:17:24,00:00:20:20,I'm here just learning the salt.,estoy aquí apenas aprendiendo la sal.,,,salinero young
00:00:21:02,00:00:22:19,And how have you been learning?,¿Y qué tal has ido aprendiendo?,,,salinero young
00:00:22:20,00:00:26:25,"Well thank God well, because of this
we live and from this we eat here and","Pues gracias a Dios bien, porque de esto
vivimos y de esto comemos acá y",,,salinero young
00:00:27:25,00:00:29:04,I have done well,me ha ido bien,,,salinero young
00:00:29:04,00:00:31:24,"thank God, I have already learned many things that I did not know about salt.","gracias a Dios, ya he aprendido muchas cosas que no sabía de la sal.",,,salinero young
00:00:33:06,00:00:35:00,What have you learned?,¿Qué has aprendido?,,,salinero young
00:00:35:01,00:00:37:13,I have learned to collect,"He aprendido a recoger,",,,salinero young
00:00:38:08,00:00:41:28,"to load, I did not know, but here I have learned all that here.","a cargar, no sabía, pero acá todo eso lo he aprendido acá.",,,salinero young
00:00:42:14,00:00:44:20,Okay.,Okay.,,,salinero young
00:00:45:14,00:00:50:08,"And well, what is the difference in this job
to another job that you have done?","Y bueno, ¿cuál es la diferencia en este trabajo
a otro trabajo que has hecho?",,,salinero young
00:00:50:26,00:00:54:09,The difference may be that this job is heavy for me.,Puede la diferencia es que este trabajo para mi es pesado.,,,salinero young
00:00:55:01,00:00:57:09,"Yes, heavy.","Sí, pesado.",,,salinero young
00:00:57:10,00:01:00:09,"I had never experienced salt, but I experienced it and","Nunca había experimentado la sal, pero la experimente y",,,salinero young
00:01:01:15,00:01:02:17,from here,de acá,,,salinero young
00:01:02:17,00:01:05:17,"you live from this here, you live from the salt.","se vive de esto de acá, se vive de la sal.",,,salinero young
00:01:05:18,00:01:08:12,"Here, well, you don't want the rain to fall",Acá pues no se quiere que caiga lluvia,,,salinero young
00:01:08:13,00:01:11:15,"because if it rains,
we won’t have a job, you understand?","porque si cae lluvia,
no hay trabajo de la sal, ¿me entiendes?",,,salinero young
00:01:12:00,00:01:14:01,"So we need the weather to be, just as it is now,","Entonces necesitamos que este el clima, así como está ahora,",,,salinero young
00:01:14:19,00:01:18:26,"that it´s breezy, that it’s clear, that the sun shines,
the more sun hits and breeze, the better for us.","que pegue brisa, que este despejado, que pegue sol,
entre más sol pegue y brisa mejor para nosotros.",,,salinero young
00:01:18:27,00:01:22:18,"Because since we live from this, then","Porque como vivimos de esto, entonces",,,salinero young
00:01:22:19,00:01:24:27,"We need the sun to shine, the breeze to run.","necesitamos que el sol pegue, que pegue brisa.",,,salinero young
00:01:25:19,00:01:28:22,"Most people want it to rain, right?",la mayoría de gente quiere que llueva ¿no?,,,salinero young
00:01:29:08,00:01:34:04,"If most people want it to rain, but then
if it rains we don't have resources to eat,","Si la mayoría de gente quiere que llueva, pero entonces
si llueve no tenemos recursos para comer,",,,salinero young
00:01:34:07,00:01:37:11,"because if we don't take out the salt
We don't have anything to eat either.","porque si no sacamos la sal
tampoco tenemos para comer.",,,salinero young
00:01:37:24,00:01:39:01,And how is it done?,¿Y cómo se hace?,,,salinero young
00:01:39:02,00:01:42:14,How does salt get damaged by rain?,¿Como se daña la sal con la lluvia?,,,salinero young
00:01:42:15,00:01:44:11,"Well... as it is,","Pues… así como está,",,,salinero young
00:01:44:12,00:01:47:27,"if it’s in a part that is dry above, very little is washed,","si está en una parte que esta seca arriba, pues muy poco se lava,",,,salinero young
00:01:48:06,00:01:52:21,"but if it is inside the pond, since the pond has no outlet, it is washed,","pero si está dentro de la charca, la charca no tiene salida de agua, se lava,",,,salinero young
00:01:54:00,00:01:56:16,"it dissolves, it melts in a wash, it melts away.","se deshace, se derrite en un lavado, se va derritiendo.",,,salinero young
00:01:58:03,00:02:00:14,"If if rains too hard, I mean, if it doesn’t rain that much","Sí el agua es mayor, si es casi medio poquito",,,salinero young
00:02:01:04,00:02:05:21,it is not consumed.,"no se lava, no se consume.",,,salinero young
00:02:05:26,00:02:09:02,Have you seen that there is a spirituality here as well?,¿Has visto que hay una espiritualidad acá también,,,salinero young
00:02:09:10,00:02:11:28,related to salt or elements or not?,relacionado con la sal o con los elementos o no?,,,salinero young
00:02:13:00,00:02:15:25,No.,No.,,,salinero young
00:02:16:12,00:02:19:23,"And well, this here by the sea too
come the salt, right?","Y bueno, esto acá del mar también
vienen la sal, ¿no?",,,salinero young
00:02:19:24,00:02:24:07,"Yes of course, because that's where they get the water from,
over there there is a little canal, that over there is","Sí claro, porque de ahí es de dónde sacan el agua,
por allá queda un canalito, eso por allá es",,,salinero young
00:02:24:08,00:02:27:03,"a canal, that water falls there,","un canal, esa agua la tiran allá,",,,salinero young
00:02:28:05,00:02:31:21,from there it takes a week or about fifteen days.,de ahí demora una semana o unos quince días.,,,salinero young
00:02:31:22,00:02:33:28,To end up here.,De ahí viene para acá.,,,salinero young
