,Start Time,End Time,EN,ES,Highlight,Comments,Speaker,Interview
0,00:00:06:11,00:00:08:00,They come out,Salen,,,jose,fuego
1,00:00:08:00,00:00:14:19,"mountains, drawing graphics","montañas, gráficas de dibujos",,,jose,fuego
2,00:00:14:21,00:00:16:17,and,y,,,jose,fuego
3,00:00:16:17,00:00:20:05,from xxxx.,de xxxx.,,,jose,fuego
4,00:00:20:07,00:00:22:06,And is it natural for it to look like that?,¿Y es natural que se vea así?,,,jose,fuego
5,00:00:22:06,00:00:24:07,It's natural,Es natural,,,jose,fuego
6,00:00:24:07,00:00:26:05,And is that type of piece used?,¿Y ese tipo de pieza se usa?,,,jose,fuego
7,00:00:26:05,00:00:27:17,That's the type that,Ese es el tipo que,,,jose,fuego
8,00:00:27:17,00:00:29:09,"is used to,","se usa para,",,,jose,fuego
9,00:00:29:09,00:00:30:13,for poporeo .,para el poporeo.,,,jose,fuego
10,00:00:30:13,00:00:32:21,This one too.,Este también.,,,jose,fuego
11,00:00:32:21,00:00:35:07,This is also used for popping.,Este también se usa para el poporeo.,,,jose,fuego
12,00:00:35:07,00:00:38:02,"And it takes a little while to burn,","Y este se demora un poquito quemando,",,,jose,fuego
13,00:00:38:02,00:00:41:02,this is very fragile,este es muy frágil,,,jose,fuego
14,00:00:41:03,00:00:42:01,and is pulverized,y se pulveriza,,,jose,fuego
15,00:00:42:01,00:00:44:13,fast.,rápido.,,,jose,fuego
16,00:00:44:13,00:00:48:04,So do you make a lime or how does that work?,¿Entonces se hace una cal o cómo funciona eso?,,,jose,fuego
17,00:00:48:06,00:00:50:10,Yes it makes a lime,Sí se hace un cal,,,jose,fuego
18,00:00:50:10,00:00:53:06,"And then when burning,","Y luego al quemar,",,,jose,fuego
19,00:00:53:06,00:00:55:22,put in a container,ponen en un recipiente,,,jose,fuego
20,00:00:55:22,00:00:57:05,"and begins to evaporate,","y empieza a evaporar,",,,jose,fuego
21,00:00:57:05,00:01:00:15,"washes it with hot water, with cold water","lo lava con agua caliente, con agua fría",,,jose,fuego
22,00:01:00:17,00:01:01:18,and,y,,,jose,fuego
23,00:01:01:18,00:01:03:19,then,luego,,,jose,fuego
24,00:01:03:19,00:01:05:22,"They put it in a container,","lo meten en un recipiente,",,,jose,fuego
25,00:01:05:22,00:01:11:10,"It can be a clay pot or a metal pot,","puede ser olla de barro o una olla metálica,",,,jose,fuego
26,00:01:11:12,00:01:13:12,something airtight,algo hermético,,,jose,fuego
27,00:01:13:12,00:01:17:19,and then it starts to evaporate by itself.,y entonces empieza a evaporarse solito.,,,jose,fuego
28,00:01:17:21,00:01:20:18,"When it cools, it is pulverized.",Cuando se enfría ya se pulveriza.,,,jose,fuego
29,00:01:20:18,00:01:23:05,"It is the procedure alone,","Es el procedimiento ya solito,",,,jose,fuego
30,00:01:23:05,00:01:25:19,does not contain chemicals or,no contiene químicos ni le,,,jose,fuego
31,00:01:25:19,00:01:31:07,"add nothing, just burn","agrega nada, solamente quemar",,,jose,fuego
